Charity/IPC Name,UENNo,Activities,Registration Date,Financial Size,Sector,Charity Status,Classification,Sector Administrator
CHONG HOCK TONG,T12SS0083E,Direct Services,24/4/1995,"$50,000 and <$200,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
Choa Chu Kang Yew Tee Chun Lian He Miow,S98SS0158L,Direct Services,08/9/2003,"$50,000 and <$200,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
CHINESE CULTURAL ASSOCIATION,T11SS0134F,,13/9/2011,"$50,000 and <$200,000",Arts and Heritage,Registered,Historical & Cultural Conservation,"Ministry of Culture, Community and Youth"
Chinese Church Union (Singapore),S71SS0015D,Supports other Charities,07/12/1983,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Chin Long Kong Temple,S94SS0122L,Direct Services,04/3/1995,"$50,000 and <$200,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
Chin Khong Kow Poon Guan San Toh Tong,S99SS0091G,Direct Services,08/7/2005,"$50,000 and <$200,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
Chin Fook Meow,S85SS0042K,Direct Services,10/5/1993,"$50,000 and <$200,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
"CHILDCARE AND CHILDREN FUND,THE",S93CC0953E,Direct Services,06/4/1993,"$50,000 and <$200,000",Social and Welfare,Registered,Support Groups,"Ministry of Culture, Community and Youth"
Chiam See Tong Sports Fund,T17SS0038G,Direct Services,26/2/2018,"$50,000 and <$200,000",Social and Welfare,Registered,Children/Youth,"Ministry of Culture, Community and Youth"
CHEW HUA SENG FOUNDATION LIMITED,200721080W,"Financial assistance, bursaries & scholarships",10/10/2008,"$50,000 and <$200,000",Others,Registered,General Charitable Purposes,"Ministry of Culture, Community and Youth"
CHERN NAM KONG SIEW TEMPLE,S88SS0047E,Direct Services,17/10/1992,"$50,000 and <$200,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
CHEOW LENG BEO TEMPLE,S75SS0012C,,28/10/1985,"$50,000 and <$200,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
Cheo Teik Temple,S97SS0113F,,22/1/2001,"$50,000 and <$200,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
Cheng Kak Si,S99SS0003J,Direct Services,13/7/2001,"$50,000 and <$200,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
Chee Tong Temple,S72SS0005D,Direct Services,17/1/1986,"$50,000 and <$200,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
Chee Hia Kog Moral Society,T03SS0054K,,04/7/2006,"$50,000 and <$200,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
"Chartered Institute of Logistics and Transport, Singapore, The",S72SS0011C,"Public awareness, promotion & advisory",26/2/1997,"$50,000 and <$200,000",Others,Registered,General Charitable Purposes,"Ministry of Culture, Community and Youth"
Charitable Assistance Society,S96SS0068D,,01/6/2004,"$50,000 and <$200,000",Social and Welfare,Registered,Community,Ministry of Social and Family Development
Channel Marker Evangelism Church,T01SS0190E,Supports other Charities,11/4/2003,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
CHANGI SIMEI CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,T02CC1598D,"Financial assistance, bursaries & scholarships",31/8/2002,"$50,000 and <$200,000",Community,Registered with IPC,South East,People's Association
CHANGE COMMUNITY SERVICES LIMITED,201003883D,Direct Services,07/3/2013,"$50,000 and <$200,000",Social and Welfare,Registered,Children/Youth,Ministry of Social and Family Development
Centre for a Responsible Future,S99SS0065J,"Public awareness, promotion & advisory",28/1/2005,"$50,000 and <$200,000",Others,Registered,Animal Welfare,"Ministry of Culture, Community and Youth"
CENTRAL SIKH GURDWARA BOARD,T09CC0002F,,,"$50,000 and <$200,000",Sports,Exempt Charity,Others,"Ministry of Culture, Community and Youth"
CENTER FOR LIFE ENRICHMENT LTD,198300183W,,25/7/1984,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Catholic Prayer Society,S95SS0036C,,21/10/1997,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
CATHOLIC FAMILY LIFE LIMITED,202008017H,Direct Services,12/11/2020,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
CASHEW CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,T07CC2006F,"Financial assistance, bursaries & scholarships",24/4/2007,"$50,000 and <$200,000",Community,Registered with IPC,North West,People's Association
CARLO CATHOLIC SERVICES LTD.,201918337D,"Financial assistance, bursaries & scholarships",29/11/2019,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Caring for Cambodia Fund,T08CC2141J,Training & education,09/12/2008,"$50,000 and <$200,000",Others,Registered,General Charitable Purposes,"Ministry of Culture, Community and Youth"
Caregivers' Association of the Mentally-ill (CAMI),T05SS0189F,"Public awareness, promotion & advisory",01/10/2008,"$50,000 and <$200,000",,Registered,Disability (Adult),Ministry of Social and Family Development
CAREERCONSORTIA LIMITED,202040991W,Direct Services,15/7/2021,"$50,000 and <$200,000",Social and Welfare,Registered,Community,Ministry of Social and Family Development
CANBERRA CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,T03CC1718F,"Financial assistance, bursaries & scholarships",13/8/2003,"$50,000 and <$200,000",Community,Registered,North West,People's Association
CAMBRIDGE COLLEGES SCHOLARSHIPS (SINGAPORE) LTD.,202024946W,"Financial assistance, bursaries & scholarships",17/2/2021,"$50,000 and <$200,000",Education,Registered with IPC,Foreign Educational Institutions/Funds,Ministry of Education
CAHAYA COMMUNITY (LTD.),201942715K,Direct Services,28/10/2020,"$50,000 and <$200,000",Social and Welfare,Registered,Community,Ministry of Social and Family Development
BUONA VISTA CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S91CC0827F,"Financial assistance, bursaries & scholarships",17/8/1991,"$50,000 and <$200,000",Community,Registered with IPC,Central,People's Association
BUKIT TIMAH CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S91CC0825C,Direct Services,17/8/1991,"$50,000 and <$200,000",Community,Registered with IPC,North West,People's Association
BUKIT PANJANG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S86CC0367E,"Financial assistance, bursaries & scholarships",25/8/1986,"$50,000 and <$200,000",Community,Registered,North West,People's Association
Budhi Meditation Buddhist Association,S92SS0034G,Direct Services,29/2/1996,"$50,000 and <$200,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
Buddhist Enlightenment Haven,S92SS0077D,Direct Services,20/3/2000,"$50,000 and <$200,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
Buddha Dhamma Mandala Society,S87SS0016L,"Public awareness, promotion & advisory",09/2/1991,"$50,000 and <$200,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
Breastfeeding Mothers' Support Group (Singapore),S91SS0021J,"Public awareness, promotion & advisory",02/9/1992,"$50,000 and <$200,000",Sports,Registered with IPC,Others,Ministry of Health
BRAIN TUMOUR SOCIETY (SINGAPORE) LIMITED,201912577E,"Financial assistance, bursaries & scholarships",16/9/2019,"$50,000 and <$200,000",Health,Registered with IPC,Other Community-based Services,Ministry of Health
BPEA FOUNDATION LTD.,202139351M,"Public awareness, promotion & advisory",27/4/2022,"$50,000 and <$200,000",Social and Welfare,Registered,Children/Youth,Ministry of Social and Family Development
BOWLS SINGAPORE,S97SS0166H,"Public awareness, promotion & advisory",19/1/2011,"$50,000 and <$200,000",Sports,Registered,NSAs,Sport Singapore
BOP HUB LTD.,201334143M,"Public awareness, promotion & advisory",08/10/2015,"$50,000 and <$200,000",Others,Registered,General Charitable Purposes,"Ministry of Culture, Community and Youth"
Bochasanwasi Shree Akshar Purushottam Swaminarayan Sanstha (Singapore),T01SS0187E,"Public awareness, promotion & advisory",28/2/2003,"$50,000 and <$200,000",Religious,Registered,Hinduism,"Ministry of Culture, Community and Youth"
Blossom World Society,T08SS0161K,"Public awareness, promotion & advisory",25/11/2014,"$50,000 and <$200,000",Social and Welfare,Registered with IPC,Children/Youth,"Ministry of Culture, Community and Youth"
BLESS COMMUNITY SERVICES,T08SS0032L,Direct Services,01/12/2008,"$50,000 and <$200,000",Social and Welfare,Registered with IPC,Children/Youth,Ministry of Social and Family Development
BLC COMMUNITY SERVICES LTD.,200813317G,,30/4/2009,"$50,000 and <$200,000",Social and Welfare,Registered,Community,Ministry of Social and Family Development
"Bible-Presbyterian Welfare Services, Singapore",S73SS0030L,Supports other Charities,03/12/1993,"$50,000 and <$200,000",Social and Welfare,Registered,Community,Ministry of Social and Family Development
Bible Evangelism Church,S98SS0153J,,31/3/1999,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
BGR INTERNATIONAL,200722544Z,Direct Services,02/2/2009,"$50,000 and <$200,000",Others,Registered,Humanitarian Aid,"Ministry of Culture, Community and Youth"
Bethany Emmanuel Church,S89SS0030L,Direct Services,27/2/1992,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Beeh Low See Temple,S94SS0047K,,09/3/1994,"$50,000 and <$200,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
BEDOK RESERVOIR-PUNGGOL CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S88CC0571D,"Financial assistance, bursaries & scholarships",09/5/1988,"$50,000 and <$200,000",Community,Registered with IPC,North East,People's Association
BEAUTIFUL MIND CHARITY,T12SS0009G,Direct Services,21/9/2012,"$50,000 and <$200,000",Arts and Heritage,Registered with IPC,Music & Orchestras,"Ministry of Culture, Community and Youth"
BAROQUE ARTS IN ASIA LTD.,200210342Z,Direct Services,22/4/2003,"$50,000 and <$200,000",Arts and Heritage,Deregistered,Theatre & Dramatic Arts,"Ministry of Culture, Community and Youth"
BAPTIST FELLOWSHIP CHURCH LIMITED,197700038D,Training & education,17/2/1987,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
BABSEACLE SINGAPORE LTD.,201132695K,Training & education,03/6/2013,"$50,000 and <$200,000",Social and Welfare,Deregistered,Children/Youth,"Ministry of Culture, Community and Youth"
ASTHMA AND ALLERGY ASSOCIATION,S93SS0154B,"Public awareness, promotion & advisory",27/4/1995,"$50,000 and <$200,000",Health,Registered,Diseases/Illnessess Support Group,Ministry of Health
Asian Christian Training Centre,S90SS0058B,Training & education,04/9/1991,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
ASHOKA : INNOVATORS FOR THE PUBLIC (SINGAPORE) LIMITED,201020535E,,19/4/2011,"$50,000 and <$200,000",Others,Registered,General Charitable Purposes,"Ministry of Culture, Community and Youth"
ARTSEQUATOR LTD.,201701329M,Direct Services,20/5/2020,"$50,000 and <$200,000",Arts and Heritage,Registered,Literary Arts,"Ministry of Culture, Community and Youth"
"ARK, THE",T07SS0078B,Direct Services,18/8/2009,"$50,000 and <$200,000",Religious,Deregistered,Christianity,"Ministry of Culture, Community and Youth"
ARC LEARNING ACADEMY LTD.,201112356K,Training & education,08/12/2011,"$50,000 and <$200,000",,Registered,Disability (Adult),Ministry of Social and Family Development
APSN LTD.,202018265W,Direct Services,06/1/2021,"$50,000 and <$200,000",,Registered with IPC,Disability (Adult),Ministry of Social and Family Development
APSN EDUCATION SERVICES LTD.,202020914M,Direct Services,02/3/2021,"$50,000 and <$200,000",Education,Registered with IPC,Local Educational Institutions/Funds,Ministry of Education
Aoxiang Counselling Service,T05SS0095C,Direct Services,19/11/2009,"$50,000 and <$200,000",Social and Welfare,Registered,Family,Ministry of Social and Family Development
Ann Jin Kiong,S85SS0044B,"Financial assistance, bursaries & scholarships",23/3/1990,"$50,000 and <$200,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
ANG CHIN MOH FOUNDATION,201229962D,"Public awareness, promotion & advisory",23/1/2014,"$50,000 and <$200,000",Others,Registered,General Charitable Purposes,"Ministry of Culture, Community and Youth"
AMBULANCE WISH (SINGAPORE) LTD.,201916704W,Direct Services,02/3/2020,"$50,000 and <$200,000",Social and Welfare,Registered with IPC,Community,Ministry of Social and Family Development
AGORA@WESTCOASTPLAZA LTD.,200702751M,Direct Services,11/9/2014,"$50,000 and <$200,000",Social and Welfare,Registered,Children/Youth,Ministry of Social and Family Development
Aglow International (Singapore),S79SS0014D,Training & education,29/9/1989,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Agape Counselling and Training Centre,S91SS0045C,"Financial assistance, bursaries & scholarships",01/11/1991,"$50,000 and <$200,000",Social and Welfare,Registered,Community,Ministry of Social and Family Development
Adventist Community Services,S60SS0011A,"Financial assistance, bursaries & scholarships",14/4/1984,"$50,000 and <$200,000",Social and Welfare,Registered,Community,Ministry of Social and Family Development
ADAM SCOTT FOUNDATION (ASIA) LIMITED,200816234N,,28/11/2008,"$50,000 and <$200,000",Others,Deregistered,General Charitable Purposes,"Ministry of Culture, Community and Youth"
ACCESS HEALTH INTERNATIONAL SOUTHEAST ASIA LIMITED,201112640R,,03/7/2012,"$50,000 and <$200,000",Sports,Registered,Others,Ministry of Health
"ACADEMY OF ENGINEERING, SINGAPORE",T11SS0118B,,15/11/2012,"$50,000 and <$200,000",Others,Registered,Think Tanks,"Ministry of Culture, Community and Youth"
Abundant Life Bible-Presbyterian Church,S94SS0051F,Direct Services,13/10/2009,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
ABDULLAH SALEH SHOOKER TRUST,S85CC2085E,,11/10/1985,"$50,000 and <$200,000",Others,Registered,General Charitable Purposes,"Ministry of Culture, Community and Youth"
A. O. ACTION LOVE LTD.,198700575Z,,13/7/1987,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
A DAY WITH MARY,T04CC1777A,,12/5/2004,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
21C GIRLS LTD.,201436550G,Training & education,03/11/2016,"$50,000 and <$200,000",Sports,Registered,Others,Ministry of Education
1987 SICC ANNIVERSARY SCHOLARSHIP FUND,S87CC0438D,"Financial assistance, bursaries & scholarships",23/3/1987,"$50,000 and <$200,000",Education,Deregistered,Foundations & Trusts,Ministry of Education
#CHECKED LIMITED,200920810R,,22/12/2010,"$50,000 and <$200,000",Others,Registered,Environment,"Ministry of Culture, Community and Youth"
Zion Home for the Aged,S86SS0033F,Direct Services,25/2/1986,"$200,000 and <$250,000",Social and Welfare,Registered,Eldercare,Ministry of Social and Family Development
ZERO WASTE SG LIMITED,201528793W,"Public awareness, promotion & advisory",26/12/2019,"$200,000 and <$250,000",Others,Registered,Environment,"Ministry of Culture, Community and Youth"
Yung Kwang Presbyterian Church,S96SS0156J,,08/2/1995,"$200,000 and <$250,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Yun Teck Sian Tng Thong Sin Sia,S94SS0048F,,09/3/1996,"$200,000 and <$250,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
Yuan Meng Shih Temple,S97SS0138G,"Public awareness, promotion & advisory",07/10/2002,"$200,000 and <$250,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
Yu Huang Tian Combined Temple,S96SS0163D,"Public awareness, promotion & advisory",23/10/2002,"$200,000 and <$250,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
Youth Guidance Outreach Services,S96SS0067H,Direct Services,19/4/1997,"$200,000 and <$250,000",Social and Welfare,Registered with IPC,Children/Youth,Ministry of Social and Family Development
YOUNG PEOPLE'S PERFORMING ARTS ENSEMBLE LTD,199900287D,,16/3/1999,"$200,000 and <$250,000",Arts and Heritage,Registered with IPC,Theatre & Dramatic Arts,"Ministry of Culture, Community and Youth"
Young Life,T03SS0025B,Direct Services,23/2/2006,"$200,000 and <$250,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Yokoshi Tomo No Kai (Singapore),S84SS0051C,Direct Services,18/12/1985,"$200,000 and <$250,000",Sports,Registered,Others,"Ministry of Culture, Community and Youth"
Yishun Christian Church (Council),T08CC4084H,,,"$200,000 and <$250,000",Religious,Exempt Charity,Christianity,"Ministry of Culture, Community and Youth"
